"simulation_id","model","participant_id","true_intercept1","true_intercept2","true_rate1","true_rate2","true_asymptote1","true_asymptote2","R2","adjR2","AIC","intercept1","intercept2","rate1","rate2","asymptote1","asymptote2"
1,"2-2-2",1,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.869012053482037,0.839903620922489,-1.37529147073835,0.56999329612488,0.743283832281665,0.983468891148213,0.242278123841308,1.01281408368526,2.50475460066321
1,"2-2-2",2,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.82442908926373,0.785413331322336,-12.1835116902614,1.25097970371728,0.537456938521842,0.400201167159137,0.399926810607883,1.57686546971366,1.8518527055251
1,"2-2-2",3,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.826462978023723,0.787899195362328,-11.4466976190739,0.872544051586365,0.813296277350754,0.1,0.285404526780564,4.21646672834672,2.02451983779094
1,"2-2-2",4,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.812164112734168,0.770422804452872,-7.23742149351548,1.19565161276401,0.758518316347098,0.487511464186541,0.1,1.14776603833819,4.14797887590477
1,"2-2-2",5,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.885260505349079,0.859762839871096,-2.71729871332158,0.728920476824319,1.05,0.1,0.205367762294386,2.95050513242521,3.14382446803036
1,"2-2-2",6,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.807968825770286,0.765295231497016,-9.93381815254277,0.1,0.1,0.223984839512714,0.1,1.30495645655727,4.24001978122543
1,"2-2-2",7,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.809778750462832,0.767507361676795,-8.71744455660783,0.155404874055929,0.997185357424582,0.1,1.01722483080642,3.40168333974613,1.36723225631681
1,"2-2-2",8,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.72790631511554,0.667441051807883,-25.734584060408,0.699999999999996,1.19913125239304,0.632669172247222,0.61430229641038,0.910041680557185,1.62170525842677
1,"2-2-2",9,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.77714837371493,0.727625790096026,-22.5177770238839,1.05,1.24484523159439,0.203311085772288,0.841326792275353,2.037301263958,1.53713735952803
1,"2-2-2",10,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.663545681453283,0.588778055109568,-33.9143970015373,0.993182225670695,0.1,0.84639169158363,0.1,1.09477509951658,4.1003274832277
2,"2-2-2",1,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.624903885734741,0.541549193675794,-33.4747201071538,0.1,0.153593446435464,0.1,0.147110264156327,2.73615224179915,3.05427117684067
2,"2-2-2",2,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.82664308855851,0.788119330460401,-8.91199037978136,0.349999999999997,0.544158185256733,0.687260130003432,0.1,0.98160651205904,4.63833620149135
2,"2-2-2",3,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.795337810596785,0.749857324062737,-20.0430176143155,0.607354745539441,0.69078285050573,0.455692069994043,0.1,1.21944717186929,4.68077678928806
2,"2-2-2",4,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.697536846935161,0.630322812920752,-26.1140920198736,0.168657034704951,0.1,0.1,0.232640960792145,2.69588698806323,2.06908079392015
2,"2-2-2",5,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.823841507570386,0.78469517591936,-3.12714075791055,0.349999999999994,0.1,0.20677200320608,0.133068234109017,1.67444878421028,3.02720131470921
2,"2-2-2",6,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.831982247091103,0.794644968666903,-4.47306842088381,1.12729672940679,0.454192281665511,0.460394589231385,0.348499971957154,1.39933306412928,1.77531281981562
2,"2-2-2",7,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.861571171656587,0.830809209802496,-0.568334420373901,0.478232293982723,0.992456443867739,0.274903539407761,0.422916441112319,1.53619710080996,1.93880404001911
2,"2-2-2",8,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.777346398798835,0.727867820754132,-21.7704612742243,0.383877139674904,0.976920195250913,0.1,0.379282687011988,3.3848649890464,1.93783559445394
2,"2-2-2",9,0.321625194649705,0.371625194649705,0.0902458400025915,0.140245840002591,3.18046836775959,3.23046836775959,0.866141167238317,0.836394759957943,5.46661311348741,0.7,0.1,0.337395813182924,0.104144526076048,1.48769602245616,3.78855058082183
